model_or_threshold,accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,tn,fp,fn,tp
default_threshold_0.50,0.9007874015748032,0.7894736842105263,0.75,0.9434343434343434,0.7692307692307693,0.958023088023088,467,28,35,105
tuned_threshold_0.30,0.8992125984251969,0.7375,0.8428571428571429,0.9151515151515152,0.7866666666666666,0.958023088023088,453,42,22,118
